100 138
29 1 11
1 48 25
30 10 36
10 73 8
12 61 16
80 12 39
13 99 5
55 14 37
14 58 20
14 59 39
83 14 8
15 50 19
16 45 40
46 16 23
16 59 16
100 17 3
17 23 28
17 67 24
18 34 33
19 25 6
19 43 16
2 68 22
71 2 26
86 2 5
22 20 5
34 20 34
78 20 32
20 79 30
39 21 25
44 22 33
91 22 29
23 41 36
64 24 11
24 93 11
25 62 19
27 26 25
26 94 37
27 30 17
27 33 16
72 27 40
36 28 30
28 92 24
48 29 38
3 30 23
3 58 33
61 3 40
3 92 16
30 57 33
30 59 35
31 60 21
70 31 7
32 89 27
33 100 1
34 37 32
34 40 7
59 34 15
76 34 38
73 35 29
75 35 6
42 36 18
96 37 23
38 39 13
38 88 31
99 38 14
45 39 30
68 39 40
35 4 28
63 4 36
4 74 32
40 83 8
41 72 2
43 42 24
43 81 25
43 86 8
44 51 40
54 44 27
79 44 12
100 47 37
60 47 17
66 47 29
47 86 18
88 47 12
92 47 4
49 74 14
5 48 1
5 62 4
65 5 10
5 71 9
85 5 14
50 75 29
50 88 34
81 51 9
51 91 9
52 57 11
53 55 20
55 56 38
84 56 19
56 93 8
83 57 25
57 88 12
58 63 3
58 94 33
95 58 39
62 59 3
98 59 24
6 31 6
44 6 10
72 6 35
6 73 26
96 6 23
60 87 33
61 92 17
80 62 35
77 67 40
67 84 12
90 67 18
69 76 38
100 7 38
21 7 13
7 99 2
74 94 2
96 74 36
77 97 6
82 79 14
11 8 24
19 8 37
37 8 2
8 38 33
42 8 22
87 8 12
94 80 34
89 83 9
97 88 19
9 17 32
9 24 6
34 9 37
9 89 2
93 94 16
